,Statue of Liberty,Central Park,Empire State Building,Times Square,Brooklyn Bridge,Fifth Avenue,Grand Central Terminal,New York Public Library,Wall Street 
0,40.689247,40.785091,40.748817,40.758896,40.706001,40.773998,40.752655,40.753181,40.706005
1,-74.044502,-73.968285,-73.985428,-73.985130,-73.997002,-73.966003,-73.977295,-73.982254,-74.008827
